movieId,cinemaId,showingTime
53,1,1634292000
5,1,1634300100
72,1,1634313600
74,1,1634328000
85,1,1634339400
47,1,1634378400
94,1,1634386500
32,1,1634400000
91,1,1634414400
93,1,1634425800
1,1,1634464800
5,1,1634472900
97,1,1634486400
41,1,1634500800
25,1,1634512200
4,1,1634551200
81,1,1634559300
16,1,1634572800
27,1,1634587200
21,1,1634598600
26,1,1634637600
98,1,1634645700
18,1,1634659200
11,1,1634673600
21,1,1634685000
15,1,1634724000
45,1,1634732100
17,1,1634745600
74,1,1634760000
13,1,1634771400
85,1,1634810400
44,1,1634818500
46,1,1634832000
68,1,1634846400
29,1,1634857800
33,1,1634896800
11,1,1634904900
97,1,1634918400
71,1,1634932800
56,1,1634944200
89,1,1634983200
3,1,1634991300
56,1,1635004800
2,1,1635019200
44,1,1635030600
17,1,1635069600
28,1,1635077700
14,1,1635091200
95,1,1635105600
53,1,1635117000
86,1,1635156000
50,1,1635164100
55,1,1635177600
79,1,1635192000
52,1,1635203400
62,2,1634288400
1,2,1634293800
29,2,1634313600
78,2,1634318100
96,2,1634332800
100,2,1634374800
38,2,1634380200
28,2,1634400000
1,2,1634404500
17,2,1634419200
75,2,1634461200
66,2,1634466600
97,2,1634486400
84,2,1634490900
80,2,1634505600
77,2,1634547600
55,2,1634553000
50,2,1634572800
100,2,1634577300
79,2,1634592000
92,2,1634634000
45,2,1634639400
25,2,1634659200
55,2,1634663700
24,2,1634678400
81,2,1634720400
4,2,1634725800
58,2,1634745600
55,2,1634750100
19,2,1634764800
66,2,1634806800
14,2,1634812200
60,2,1634832000
92,2,1634836500
46,2,1634851200
22,2,1634893200
5,2,1634898600
56,2,1634918400
18,2,1634922900
99,2,1634937600
33,2,1634979600
59,2,1634985000
91,2,1635004800
63,2,1635009300
81,2,1635024000
29,2,1635066000
51,2,1635071400
64,2,1635091200
22,2,1635095700
83,2,1635110400
100,2,1635152400
88,2,1635157800
6,2,1635177600
51,2,1635182100
53,2,1635196800
53,3,1634292000
19,3,1634300100
83,3,1634313600
35,3,1634328000
11,3,1634339400
51,3,1634378400
57,3,1634386500
69,3,1634400000
46,3,1634414400
10,3,1634425800
64,3,1634464800
93,3,1634472900
54,3,1634486400
67,3,1634500800
99,3,1634512200
74,3,1634551200
19,3,1634559300
4,3,1634572800
51,3,1634587200
53,3,1634598600
77,3,1634637600
79,3,1634645700
40,3,1634659200
51,3,1634673600
88,3,1634685000
62,3,1634724000
87,3,1634732100
15,3,1634745600
37,3,1634760000
36,3,1634771400
54,3,1634810400
76,3,1634818500
15,3,1634832000
54,3,1634846400
44,3,1634857800
98,3,1634896800
56,3,1634904900
74,3,1634918400
89,3,1634932800
2,3,1634944200
51,3,1634983200
86,3,1634991300
35,3,1635004800
100,3,1635019200
22,3,1635030600
65,3,1635069600
51,3,1635077700
27,3,1635091200
73,3,1635105600
27,3,1635117000
78,3,1635156000
5,3,1635164100
10,3,1635177600
5,3,1635192000
60,3,1635203400
96,4,1634288400
20,4,1634293800
3,4,1634313600
20,4,1634318100
84,4,1634332800
87,4,1634374800
11,4,1634380200
39,4,1634400000
31,4,1634404500
52,4,1634419200
84,4,1634461200
39,4,1634466600
100,4,1634486400
48,4,1634490900
41,4,1634505600
35,4,1634547600
17,4,1634553000
26,4,1634572800
100,4,1634577300
46,4,1634592000
94,4,1634634000
2,4,1634639400
93,4,1634659200
100,4,1634663700
3,4,1634678400
93,4,1634720400
88,4,1634725800
77,4,1634745600
39,4,1634750100
53,4,1634764800
75,4,1634806800
89,4,1634812200
44,4,1634832000
44,4,1634836500
16,4,1634851200
26,4,1634893200
51,4,1634898600
72,4,1634918400
73,4,1634922900
75,4,1634937600
25,4,1634979600
47,4,1634985000
35,4,1635004800
48,4,1635009300
38,4,1635024000
84,4,1635066000
16,4,1635071400
47,4,1635091200
79,4,1635095700
55,4,1635110400
91,4,1635152400
17,4,1635157800
30,4,1635177600
84,4,1635182100
15,4,1635196800
21,5,1634292000
33,5,1634300100
7,5,1634313600
6,5,1634328000
75,5,1634339400
44,5,1634378400
79,5,1634386500
43,5,1634400000
94,5,1634414400
30,5,1634425800
12,5,1634464800
83,5,1634472900
14,5,1634486400
16,5,1634500800
91,5,1634512200
50,5,1634551200
21,5,1634559300
35,5,1634572800
14,5,1634587200
15,5,1634598600
36,5,1634637600
8,5,1634645700
31,5,1634659200
12,5,1634673600
48,5,1634685000
62,5,1634724000
24,5,1634732100
60,5,1634745600
98,5,1634760000
17,5,1634771400
20,5,1634810400
76,5,1634818500
82,5,1634832000
70,5,1634846400
4,5,1634857800
39,5,1634896800
66,5,1634904900
66,5,1634918400
48,5,1634932800
74,5,1634944200
97,5,1634983200
21,5,1634991300
5,5,1635004800
13,5,1635019200
35,5,1635030600
43,5,1635069600
59,5,1635077700
1,5,1635091200
93,5,1635105600
73,5,1635117000
34,5,1635156000
98,5,1635164100
45,5,1635177600
100,5,1635192000
42,5,1635203400
5,6,1634288400
23,6,1634293800
64,6,1634313600
78,6,1634318100
34,6,1634332800
35,6,1634374800
54,6,1634380200
66,6,1634400000
100,6,1634404500
1,6,1634419200
87,6,1634461200
22,6,1634466600
36,6,1634486400
23,6,1634490900
34,6,1634505600
50,6,1634547600
42,6,1634553000
56,6,1634572800
25,6,1634577300
66,6,1634592000
17,6,1634634000
22,6,1634639400
5,6,1634659200
49,6,1634663700
97,6,1634678400
39,6,1634720400
45,6,1634725800
81,6,1634745600
66,6,1634750100
17,6,1634764800
96,6,1634806800
90,6,1634812200
48,6,1634832000
78,6,1634836500
36,6,1634851200
40,6,1634893200
54,6,1634898600
45,6,1634918400
14,6,1634922900
87,6,1634937600
80,6,1634979600
54,6,1634985000
61,6,1635004800
2,6,1635009300
31,6,1635024000
19,6,1635066000
20,6,1635071400
1,6,1635091200
16,6,1635095700
12,6,1635110400
60,6,1635152400
29,6,1635157800
82,6,1635177600
22,6,1635182100
48,6,1635196800
35,7,1634328000
45,7,1634339400
53,7,1634378400
98,7,1634386500
64,7,1634400000
8,7,1634414400
8,7,1634425800
37,7,1634464800
40,7,1634472900
76,7,1634486400
60,7,1634500800
49,7,1634512200
37,7,1634551200
46,7,1634559300
2,7,1634572800
46,7,1634587200
36,7,1634598600
57,7,1634637600
10,7,1634645700
51,7,1634659200
65,7,1634673600
1,7,1634685000
57,7,1634724000
86,7,1634732100
28,7,1634745600
65,7,1634760000
89,7,1634771400
52,7,1634810400
40,7,1634818500
26,7,1634832000
29,7,1634846400
25,7,1634857800
57,7,1634896800
62,7,1634904900
16,7,1634918400
68,7,1634932800
37,7,1634944200
26,7,1634983200
98,7,1634991300
37,7,1635004800
2,7,1635019200
15,7,1635030600
32,7,1635069600
58,7,1635077700
97,7,1635091200
12,7,1635105600
13,7,1635117000
25,7,1635156000
85,7,1635164100
13,7,1635177600
82,7,1635192000
89,7,1635203400
55,8,1634288400
73,8,1634293800
4,8,1634313600
69,8,1634318100
38,8,1634332800
97,8,1634374800
28,8,1634380200
14,8,1634400000
88,8,1634404500
57,8,1634419200
19,8,1634461200
94,8,1634466600
59,8,1634486400
80,8,1634490900
79,8,1634505600
59,8,1634547600
54,8,1634553000
21,8,1634572800
95,8,1634577300
86,8,1634592000
50,8,1634634000
10,8,1634639400
35,8,1634659200
97,8,1634663700
1,8,1634678400
21,8,1634720400
57,8,1634725800
10,8,1634745600
8,8,1634750100
17,8,1634764800
75,8,1634806800
77,8,1634812200
11,8,1634832000
22,8,1634836500
98,8,1634851200
32,8,1634893200
